Q_ID,QG,QG_Name,Phase,Set,Bloom_Level,Question,Choice_A,Choice_B,Choice_C,Choice_D,Answer,Answer_Explain,Question_Type,Skill_Tag,Is_Diagnostic,Recommended_Course,Sales_Pitch,Pass_Criteria,Progression_Level
QG01-PRE-A-001,QG-01,Attention & Hook Mechanics,Pre,A,Remember,คนดู TikTok ใช้เวลาเฉลี่ยกี่วินาทีก่อนตัดสินใจเลื่อนผ่าน?,8 วินาที,2.3 วินาที,15 วินาที,30 วินาที,B,สถิติ Attention Economy 2025-2026 ระบุว่าใช้เวลาเพียง 2.3 วินาที,MCQ,"Hook,Attention",TRUE,"MICRO EXPRESS,SIGNAL",เรียน Hook ให้คม ก่อนเสียผู้ชมทุกไลฟ์,ถูก=ผ่าน,STARTER
QG01-PRE-A-002,QG-01,Attention & Hook Mechanics,Pre,A,Understand,"""Attention Economy"" ในบริบท Live Commerce หมายถึงอะไร?",การใช้เงินซื้อโฆษณา,การแย่งชิงความสนใจของผู้ชมในเวลาไม่กี่วินาที,การวิเคราะห์ตลาด,การสร้าง Content ยาว,B,Live Commerce ต้องแย่งชิงความสนใจจากแพลตฟอร์มอื่น ในเวลาสั้นมาก,MCQ,"Hook,Attention,Economy",TRUE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-A-003,QG-01,Attention & Hook Mechanics,Pre,A,Understand,เหตุผลหลักที่ Live Conversion Rate สูงกว่า Website คือ?,สินค้าราคาถูกกว่า,การโต้ตอบ Real-time + FOMO,โฆษณาเยอะกว่า,ผู้ชมเยอะกว่า,B,การโต้ตอบสดและความรู้สึกเร่งด่วน (FOMO) ทำให้คนตัดสินใจซื้อเร็วกว่า,MCQ,"Hook,CR,FOMO",TRUE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-A-004,QG-01,Attention & Hook Mechanics,Pre,A,Remember,ถ้า Live CR = 18% และ Website CR = 1.5% — Live สูงกว่ากี่เท่า?,6 เท่า,8 เท่า,12 เท่า,18 เท่า,C,18 ÷ 1.5 = 12 เท่า,MCQ,"CR,KPI",FALSE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-A-005,QG-01,Attention & Hook Mechanics,Pre,A,Remember,"""Hook Loop"" คืออะไร?",การเปิดเพลงระหว่างไลฟ์,การปล่อย Mini Hook ทุก 15-20 นาที,การหยุดพักระหว่างไลฟ์,การโฆษณาสินค้าซ้ำๆ,B,Hook Loop คือการปล่อย Mini Hook ทุก 15-20 นาที เพื่อดึงผู้ชมที่เริ่มเบื่อกลับมา,MCQ,"Hook,Hook Loop",TRUE,"MICRO EXPRESS,SIGNAL",,ถูก=ผ่าน,STARTER
QG01-PRE-B-001,QG-01,Attention & Hook Mechanics,Pre,B,Remember,ถ้า Live CR = 12% และ Website CR = 1.2% — อัตราส่วน Live:Website คือ?,5:1,8:1,10:1,12:1,C,12 ÷ 1.2 = 10 เท่า,MCQ,"CR,KPI",FALSE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-B-002,QG-01,Attention & Hook Mechanics,Pre,B,Understand,ข้อใดเป็นตัวอย่าง Curiosity Hook ที่ดีสำหรับครีมกันแดด?,"""ครีมกันแดดดีที่สุดของปี""","""ทำไมครีม 590 บ. ถึงขายดีกว่าตัว 2,000 บ.?""","""สวัสดีค่ะ มาดูครีมนี้กัน""","""ลด 50% วันนี้วันเดียว""",B,Curiosity Hook ต้องทำให้คนสงสัยและอยากรู้คำตอบทันที,MCQ,"Hook,Curiosity Hook",FALSE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-B-003,QG-01,Attention & Hook Mechanics,Pre,B,Understand,ข้อใดไม่ใช่ลักษณะของ Grabber ที่ดี?,ชี้ปัญหาที่ผู้ชมกำลังเผชิญ,ใช้ตัวเลขสถิติ,ยาวเกิน 10 วินาที,สร้างความอยากรู้,C,Grabber ต้องสั้น กระชับ ไม่เกิน 3-5 วินาที,MCQ,"Hook,Grabber",FALSE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-B-004,QG-01,Attention & Hook Mechanics,Pre,B,Remember,True/False: คนดู TikTok ตัดสินใจเลื่อนผ่านภายใน 8 วินาที,TRUE,FALSE,,,B,False — ใช้เวลาเพียง 2.3 วินาทีเท่านั้น (Attention Economy 2025-2026),True_False,"Hook,Attention",TRUE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-DUR-A-001,QG-01,Attention & Hook Mechanics,During,A,Remember,ใน 3 วินาทีแรก โฮสต์ต้องทำอะไรเป็นอันดับแรก?,บอกชื่อสินค้า,ขอบคุณที่เข้ามาดู,หยุดนิ้วผู้ชมด้วยประโยค Grabber,แนะนำตัวเอง,C,3 วินาทีแรกต้องสร้างเหตุผลให้ผู้ชมอยู่ดูต่อ ไม่ใช่แนะนำตัว,MCQ,"Hook,Grabber",FALSE,,,ถูก=ผ่าน,STARTER
